epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,82.9014,0.40216,0.57041,0.56884,0.83838,0.16594,0.80517,0.2308,0.20317,0.16594,0.80517,0.23059,0.18863,0.39787,0.8147,7.06762,0.82253,0.000889796,0.000889796,0.000889796
30,85.681,0.38335,0.39403,0.55865,0.83281,0.16581,0.85509,0.2383,0.22064,0.16581,0.85509,0.2383,0.21119,0.38486,0.69088,4.90333,0.81151,0.00088841,0.00088841,0.00088841
31,88.4856,0.39357,0.51281,0.59813,0.83056,0.17702,0.79167,0.2352,0.21459,0.17702,0.79167,0.2352,0.20866,0.40201,0.63641,6.27142,0.81756,0.000886978,0.000886978,0.000886978
32,91.2614,0.3701,0.43394,0.52562,0.83462,0.16744,0.9585,0.24056,0.21974,0.16744,0.9585,0.24056,0.22101,0.42492,0.54371,7.00293,0.81094,0.000885498,0.000885498,0.000885498
33,94.0765,0.39573,0.48617,0.52208,0.8414,0.16933,0.95627,0.23998,0.21722,0.16933,0.95627,0.23783,0.21639,0.40999,0.79639,6.25467,0.81214,0.000883972,0.000883972,0.000883972
34,96.8726,0.37822,0.53109,0.56242,0.83285,0.16024,0.94583,0.23034,0.21074,0.16024,0.94583,0.23034,0.20683,0.40777,0.65712,6.39156,0.82661,0.000882399,0.000882399,0.000882399
35,99.6647,0.37569,0.38064,0.56149,0.84279,0.16625,0.92917,0.2298,0.2061,0.16625,0.92917,0.229,0.20628,0.40433,0.71342,5.35208,0.82823,0.00088078,0.00088078,0.00088078
36,102.411,0.37047,0.45157,0.56016,0.8303,0.16087,0.96667,0.21541,0.19651,0.16087,0.96667,0.21541,0.19277,0.40566,0.67612,6.43423,0.82158,0.000879114,0.000879114,0.000879114
37,105.184,0.37781,0.42443,0.56204,0.82324,0.15039,0.94387,0.19024,0.17722,0.15039,0.94387,0.19024,0.17699,0.37565,0.57907,5.11271,0.81339,0.000877403,0.000877403,0.000877403
38,107.99,0.3804,0.42666,0.52264,0.83605,0.16198,0.89375,0.20153,0.18932,0.16198,0.89375,0.20086,0.18332,0.34968,0.49816,5.59678,0.82147,0.000875645,0.000875645,0.000875645
39,110.759,0.34068,0.41136,0.56706,0.8395,0.159,0.90417,0.21882,0.20264,0.159,0.90417,0.21882,0.20279,0.35828,0.47482,5.12578,0.82177,0.000873842,0.000873842,0.000873842
40,113.54,0.34708,0.43913,0.61181,0.83649,0.1583,0.90417,0.23251,0.21462,0.1583,0.90417,0.23045,0.2092,0.3536,0.59361,5.34571,0.81135,0.000871993,0.000871993,0.000871993
41,116.307,0.35253,0.51422,0.52626,0.83647,0.15211,0.95297,0.23355,0.21851,0.15211,0.95297,0.23355,0.21445,0.33945,0.56236,6.53609,0.80178,0.000870099,0.000870099,0.000870099
42,119.125,0.34443,0.45315,0.47361,0.8238,0.15708,0.96667,0.24943,0.23359,0.15708,0.96667,0.24943,0.2297,0.33696,0.49644,7.37625,0.80231,0.00086816,0.00086816,0.00086816
43,121.937,0.36509,0.44143,0.55129,0.82068,0.15833,0.95,0.25554,0.23657,0.15833,0.95,0.25554,0.23225,0.35348,0.50514,6.17424,0.80634,0.000866176,0.000866176,0.000866176
44,124.737,0.34958,0.46483,0.53868,0.83853,0.15853,0.96667,0.25287,0.23909,0.15853,0.96667,0.25287,0.22909,0.32081,0.53593,6.15945,0.79552,0.000864148,0.000864148,0.000864148
45,127.62,0.34472,0.42589,0.51469,0.82184,0.16322,0.90417,0.25608,0.24747,0.16322,0.90417,0.2552,0.23379,0.28925,0.5555,8.05382,0.7898,0.000862075,0.000862075,0.000862075
46,130.444,0.32571,0.40191,0.53416,0.81748,0.16602,0.96667,0.24407,0.22923,0.16602,0.96667,0.24407,0.22904,0.33081,0.54016,7.99279,0.7942,0.000859958,0.000859958,0.000859958
47,133.293,0.34147,0.40115,0.52129,0.8199,0.18369,0.8875,0.24948,0.23202,0.18369,0.8875,0.24948,0.23128,0.32282,0.5555,7.72749,0.79663,0.000857797,0.000857797,0.000857797
48,136.128,0.31772,0.39754,0.51315,0.82746,0.16497,0.78958,0.27261,0.26149,0.16497,0.78958,0.27236,0.25507,0.32663,0.51991,6.52639,0.79603,0.000855592,0.000855592,0.000855592
49,138.976,0.34349,0.3921,0.52711,0.82456,0.17329,0.75833,0.24481,0.2311,0.17329,0.75833,0.24458,0.23097,0.31158,0.48145,5.69727,0.79106,0.000853344,0.000853344,0.000853344
50,141.76,0.35253,0.41821,0.53008,0.82872,0.16938,0.77083,0.24106,0.23077,0.16938,0.77083,0.24045,0.22047,0.29926,0.52231,6.70798,0.78768,0.000851052,0.000851052,0.000851052
51,144.57,0.32934,0.38896,0.52311,0.81739,0.16209,0.90417,0.25026,0.23822,0.16209,0.90417,0.25026,0.22846,0.31173,0.52036,7.37636,0.79299,0.000848717,0.000848717,0.000848717
52,147.451,0.33292,0.44887,0.44834,0.8324,0.17069,0.925,0.26589,0.25424,0.17069,0.925,0.26589,0.24486,0.27729,0.72395,5.47712,0.78743,0.00084634,0.00084634,0.00084634
53,150.341,0.31627,0.39902,0.52149,0.82441,0.18323,0.81026,0.25058,0.2376,0.18323,0.81026,0.25058,0.22847,0.28678,0.7362,4.12364,0.78629,0.00084392,0.00084392,0.00084392
54,153.172,0.34493,0.395,0.50606,0.82954,0.16873,0.88333,0.25486,0.24097,0.16873,0.88333,0.25486,0.24115,0.32115,0.60287,6.02794,0.79293,0.000841458,0.000841458,0.000841458
55,155.995,0.33602,0.40965,0.51267,0.82418,0.16224,0.925,0.26498,0.25434,0.16224,0.925,0.26431,0.24542,0.29526,0.52025,6.33191,0.7896,0.000838955,0.000838955,0.000838955
56,158.789,0.32173,0.41245,0.44195,0.83613,0.16352,0.90417,0.25519,0.24331,0.16352,0.90417,0.25454,0.24049,0.29544,0.48363,6.23168,0.78473,0.000836409,0.000836409,0.000836409
57,161.609,0.31587,0.43027,0.44683,0.82083,0.15889,0.96284,0.24788,0.23842,0.15889,0.96284,0.24788,0.23389,0.31228,0.51647,6.66158,0.78747,0.000833822,0.000833822,0.000833822
